year,district,contact_type_cd,sex_code_cd,race_code_cd,age_group,count
2016,1,GANGLTR,F,BLK,40-50,1
2016,1,GANGLTR,M,BLK,19-30,2
2016,1,GANGLTR,M,BLK,30-40,5
2016,1,GANGLTR,M,BLK,40-50,2
2016,1,GANGLTR,M,BLK,50-60,2
2016,1,GANGLTR,M,WHT,19-30,4
2016,1,GANGLTR,M,WHT,50-60,1
2016,1,GANGLTR,M,WWH,19-30,1
2016,1,INVSTG,F,BLK,19-30,47
2016,1,INVSTG,F,BLK,30-40,18
2016,1,INVSTG,F,BLK,40-50,29
2016,1,INVSTG,F,BLK,50-60,15
2016,1,INVSTG,F,BLK,60 or older,2
2016,1,INVSTG,F,BLK,Juvenile,16
2016,1,INVSTG,F,WHT,19-30,17
2016,1,INVSTG,F,WHT,30-40,6
2016,1,INVSTG,F,WHT,40-50,9
2016,1,INVSTG,F,WHT,50-60,2
2016,1,INVSTG,F,WHT,Juvenile,5
2016,1,INVSTG,F,WWH,19-30,10
2016,1,INVSTG,F,WWH,30-40,1
2016,1,INVSTG,F,WWH,40-50,1
2016,1,INVSTG,F,WWH,Juvenile,4
2016,1,INVSTG,M,API,19-30,1
2016,1,INVSTG,M,API,30-40,2
2016,1,INVSTG,M,API,60 or older,1
2016,1,INVSTG,M,API,Juvenile,2
2016,1,INVSTG,M,BLK,19-30,244
2016,1,INVSTG,M,BLK,30-40,164
2016,1,INVSTG,M,BLK,40-50,177
2016,1,INVSTG,M,BLK,50-60,217
2016,1,INVSTG,M,BLK,60 or older,55
2016,1,INVSTG,M,BLK,Juvenile,142
2016,1,INVSTG,M,I,30-40,1
2016,1,INVSTG,M,I,Juvenile,1
2016,1,INVSTG,M,P,19-30,2
2016,1,INVSTG,M,WHT,19-30,64
2016,1,INVSTG,M,WHT,30-40,48
2016,1,INVSTG,M,WHT,40-50,22
2016,1,INVSTG,M,WHT,50-60,23
2016,1,INVSTG,M,WHT,60 or older,8
2016,1,INVSTG,M,WHT,Juvenile,18
2016,1,INVSTG,M,WWH,19-30,55
2016,1,INVSTG,M,WWH,30-40,15
2016,1,INVSTG,M,WWH,40-50,14
2016,1,INVSTG,M,WWH,50-60,5
2016,1,INVSTG,M,WWH,60 or older,1
2016,1,INVSTG,M,WWH,Juvenile,20
2016,1,INVSTG,X,BLK,19-30,1
2016,1,INVSTG,X,WWH,30-40,1
2016,2,GANGLTR,F,BLK,19-30,6
2016,2,GANGLTR,F,BLK,40-50,2
2016,2,GANGLTR,F,BLK,50-60,1
2016,2,GANGLTR,F,BLK,Juvenile,2
2016,2,GANGLTR,M,BLK,19-30,89
2016,2,GANGLTR,M,BLK,30-40,13
2016,2,GANGLTR,M,BLK,40-50,26
2016,2,GANGLTR,M,BLK,50-60,13
2016,2,GANGLTR,M,BLK,60 or older,7
2016,2,GANGLTR,M,BLK,Juvenile,100
2016,2,GANGLTR,M,WHT,40-50,1
2016,2,GANGLTR,M,WWH,30-40,1
2016,2,INVSTG,F,API,19-30,3
2016,2,INVSTG,F,API,30-40,1
2016,2,INVSTG,F,API,40-50,2
2016,2,INVSTG,F,API,50-60,2
