year,district,contact_type_cd,age_group,a_count
2016,1,GANGLTR,19-30,7
2016,1,GANGLTR,30-40,5
2016,1,GANGLTR,40-50,3
2016,1,GANGLTR,50-60,3
2016,1,INVSTG,19-30,441
2016,1,INVSTG,30-40,256
2016,1,INVSTG,40-50,252
2016,1,INVSTG,50-60,262
2016,1,INVSTG,60 or older,67
2016,1,INVSTG,Juvenile,208
2016,2,GANGLTR,19-30,95
2016,2,GANGLTR,30-40,14
2016,2,GANGLTR,40-50,29
2016,2,GANGLTR,50-60,14
2016,2,GANGLTR,60 or older,7
2016,2,GANGLTR,Juvenile,102
2016,2,INVSTG,19-30,1672
2016,2,INVSTG,30-40,813
2016,2,INVSTG,40-50,756
2016,2,INVSTG,50-60,830
2016,2,INVSTG,60 or older,234
2016,2,INVSTG,Juvenile,988
2016,3,GANGLTR,19-30,256
2016,3,GANGLTR,30-40,74
2016,3,GANGLTR,40-50,32
2016,3,GANGLTR,50-60,17
2016,3,GANGLTR,60 or older,6
2016,3,GANGLTR,Juvenile,140
2016,3,INVSTG,19-30,1795
2016,3,INVSTG,30-40,652
2016,3,INVSTG,40-50,416
2016,3,INVSTG,50-60,298
2016,3,INVSTG,60 or older,78
2016,3,INVSTG,Juvenile,1088
2016,4,GANGLTR,19-30,178
2016,4,GANGLTR,30-40,57
2016,4,GANGLTR,40-50,56
2016,4,GANGLTR,50-60,38
2016,4,GANGLTR,60 or older,4
2016,4,GANGLTR,Juvenile,81
2016,4,INVSTG,19-30,2564
2016,4,INVSTG,30-40,847
2016,4,INVSTG,40-50,694
2016,4,INVSTG,50-60,658
2016,4,INVSTG,60 or older,129
2016,4,INVSTG,Juvenile,1428
2016,5,GANGLTR,19-30,102
2016,5,GANGLTR,30-40,30
2016,5,GANGLTR,40-50,31
2016,5,GANGLTR,50-60,18
2016,5,GANGLTR,60 or older,6
2016,5,GANGLTR,Juvenile,33
2016,5,INVSTG,19-30,1935
2016,5,INVSTG,30-40,625
2016,5,INVSTG,40-50,391
2016,5,INVSTG,50-60,333
2016,5,INVSTG,60 or older,84
2016,5,INVSTG,Juvenile,876
2016,6,GANGLTR,19-30,103
2016,6,GANGLTR,30-40,27
2016,6,GANGLTR,40-50,30
2016,6,GANGLTR,50-60,36
2016,6,GANGLTR,60 or older,6
2016,6,GANGLTR,Juvenile,28
2016,6,INVSTG,19-30,1794
2016,6,INVSTG,30-40,649
2016,6,INVSTG,40-50,423
2016,6,INVSTG,50-60,406
2016,6,INVSTG,60 or older,97
2016,6,INVSTG,Juvenile,1095
2016,7,GANGLTR,19-30,60
2016,7,GANGLTR,30-40,36
2016,7,GANGLTR,40-50,21
2016,7,GANGLTR,50-60,12
2016,7,GANGLTR,Juvenile,29
2016,7,INVSTG,19-30,3706
2016,7,INVSTG,30-40,1235
2016,7,INVSTG,40-50,779
2016,7,INVSTG,50-60,673
2016,7,INVSTG,60 or older,162
2016,7,INVSTG,Juvenile,1642
2016,8,GANGLTR,19-30,238
2016,8,GANGLTR,30-40,40
2016,8,GANGLTR,40-50,15
2016,8,GANGLTR,50-60,10
2016,8,GANGLTR,60 or older,6
2016,8,GANGLTR,Juvenile,170
2016,8,INVSTG,19-30,2290
2016,8,INVSTG,30-40,787
2016,8,INVSTG,40-50,435
2016,8,INVSTG,50-60,282
2016,8,INVSTG,60 or older,82
2016,8,INVSTG,Juvenile,2227
2016,9,GANGLTR,19-30,194
2016,9,GANGLTR,30-40,39
2016,9,GANGLTR,40-50,16
2016,9,GANGLTR,50-60,4
2016,9,GANGLTR,60 or older,4
2016,9,GANGLTR,Juvenile,200
2016,9,INVSTG,19-30,3265
2016,9,INVSTG,30-40,1056
2016,9,INVSTG,40-50,564
2016,9,INVSTG,50-60,462
2016,9,INVSTG,60 or older,121
2016,9,INVSTG,Juvenile,2374
2016,10,GANGLTR,19-30,293
2016,10,GANGLTR,30-40,26
