year,district,contact_type_cd,race_code_cd,r_count
2016,1,GANGLTR,BLK,12
2016,1,GANGLTR,WHT,5
2016,1,GANGLTR,WWH,1
2016,1,INVSTG,API,6
2016,1,INVSTG,BLK,1127
2016,1,INVSTG,I,2
2016,1,INVSTG,P,2
2016,1,INVSTG,WHT,222
2016,1,INVSTG,WWH,127
2016,2,GANGLTR,BLK,259
2016,2,GANGLTR,WHT,1
2016,2,GANGLTR,WWH,1
2016,2,INVSTG,API,44
2016,2,INVSTG,BLK,5064
2016,2,INVSTG,I,12
2016,2,INVSTG,P,5
2016,2,INVSTG,WHI,1
2016,2,INVSTG,WHT,101
2016,2,INVSTG,WWH,66
2016,3,GANGLTR,API,1
2016,3,GANGLTR,BLK,520
2016,3,GANGLTR,I,3
2016,3,GANGLTR,WHT,1
2016,3,INVSTG,API,33
2016,3,INVSTG,BLK,4206
2016,3,INVSTG,I,7
2016,3,INVSTG,P,1
2016,3,INVSTG,WHT,50
2016,3,INVSTG,WWH,30
2016,4,GANGLTR,API,3
2016,4,GANGLTR,BLK,389
2016,4,GANGLTR,WHT,3
2016,4,GANGLTR,WWH,19
2016,4,INVSTG,API,24
2016,4,INVSTG,BLK,4957
2016,4,INVSTG,I,14
2016,4,INVSTG,P,2
2016,4,INVSTG,WHI,1
2016,4,INVSTG,WHT,158
2016,4,INVSTG,WWH,1164
2016,5,GANGLTR,API,3
2016,5,GANGLTR,BLK,215
2016,5,GANGLTR,WHT,2
2016,5,INVSTG,API,27
2016,5,INVSTG,BLK,4077
2016,5,INVSTG,I,5
2016,5,INVSTG,P,3
2016,5,INVSTG,WBH,1
2016,5,INVSTG,WHT,66
2016,5,INVSTG,WWH,65
2016,6,GANGLTR,API,1
2016,6,GANGLTR,BLK,229
2016,6,INVSTG,API,32
2016,6,INVSTG,BLK,4302
2016,6,INVSTG,I,10
2016,6,INVSTG,P,3
2016,6,INVSTG,WHT,75
2016,6,INVSTG,WWH,42
2016,7,GANGLTR,API,2
2016,7,GANGLTR,BLK,151
2016,7,GANGLTR,WHT,3
2016,7,GANGLTR,WWH,2
2016,7,INVSTG,API,50
