year,district,contact_type_cd,count,age_group,a_count,race_code_cd,r_count,sex_code_cd,s_count
2016,1,GANGLTR,18,19-30,7,BLK,12,F,1
2016,1,GANGLTR,18,19-30,7,BLK,12,M,17
2016,1,GANGLTR,18,19-30,7,WHT,5,F,1
2016,1,GANGLTR,18,19-30,7,WHT,5,M,17
2016,1,GANGLTR,18,19-30,7,WWH,1,F,1
2016,1,GANGLTR,18,19-30,7,WWH,1,M,17
2016,1,GANGLTR,18,30-40,5,BLK,12,F,1
2016,1,GANGLTR,18,30-40,5,BLK,12,M,17
2016,1,GANGLTR,18,30-40,5,WHT,5,F,1
2016,1,GANGLTR,18,30-40,5,WHT,5,M,17
2016,1,GANGLTR,18,30-40,5,WWH,1,F,1
2016,1,GANGLTR,18,30-40,5,WWH,1,M,17
2016,1,GANGLTR,18,40-50,3,BLK,12,F,1
2016,1,GANGLTR,18,40-50,3,BLK,12,M,17
2016,1,GANGLTR,18,40-50,3,WHT,5,F,1
2016,1,GANGLTR,18,40-50,3,WHT,5,M,17
2016,1,GANGLTR,18,40-50,3,WWH,1,F,1
2016,1,GANGLTR,18,40-50,3,WWH,1,M,17
2016,1,GANGLTR,18,50-60,3,BLK,12,F,1
2016,1,GANGLTR,18,50-60,3,BLK,12,M,17
2016,1,GANGLTR,18,50-60,3,WHT,5,F,1
2016,1,GANGLTR,18,50-60,3,WHT,5,M,17
2016,1,GANGLTR,18,50-60,3,WWH,1,F,1
2016,1,GANGLTR,18,50-60,3,WWH,1,M,17
2016,1,INVSTG,1486,19-30,441,API,6,F,182
2016,1,INVSTG,1486,19-30,441,API,6,M,1302
2016,1,INVSTG,1486,19-30,441,API,6,X,2
2016,1,INVSTG,1486,19-30,441,BLK,1127,F,182
2016,1,INVSTG,1486,19-30,441,BLK,1127,M,1302
2016,1,INVSTG,1486,19-30,441,BLK,1127,X,2
2016,1,INVSTG,1486,19-30,441,I,2,F,182
2016,1,INVSTG,1486,19-30,441,I,2,M,1302
2016,1,INVSTG,1486,19-30,441,I,2,X,2
2016,1,INVSTG,1486,19-30,441,P,2,F,182
2016,1,INVSTG,1486,19-30,441,P,2,M,1302
2016,1,INVSTG,1486,19-30,441,P,2,X,2
2016,1,INVSTG,1486,19-30,441,WHT,222,F,182
2016,1,INVSTG,1486,19-30,441,WHT,222,M,1302
2016,1,INVSTG,1486,19-30,441,WHT,222,X,2
2016,1,INVSTG,1486,19-30,441,WWH,127,F,182
2016,1,INVSTG,1486,19-30,441,WWH,127,M,1302
2016,1,INVSTG,1486,19-30,441,WWH,127,X,2
2016,1,INVSTG,1486,30-40,256,API,6,F,182
2016,1,INVSTG,1486,30-40,256,API,6,M,1302
2016,1,INVSTG,1486,30-40,256,API,6,X,2
2016,1,INVSTG,1486,30-40,256,BLK,1127,F,182
2016,1,INVSTG,1486,30-40,256,BLK,1127,M,1302
2016,1,INVSTG,1486,30-40,256,BLK,1127,X,2
2016,1,INVSTG,1486,30-40,256,I,2,F,182
2016,1,INVSTG,1486,30-40,256,I,2,M,1302
2016,1,INVSTG,1486,30-40,256,I,2,X,2
2016,1,INVSTG,1486,30-40,256,P,2,F,182
2016,1,INVSTG,1486,30-40,256,P,2,M,1302
2016,1,INVSTG,1486,30-40,256,P,2,X,2
2016,1,INVSTG,1486,30-40,256,WHT,222,F,182
2016,1,INVSTG,1486,30-40,256,WHT,222,M,1302
2016,1,INVSTG,1486,30-40,256,WHT,222,X,2
2016,1,INVSTG,1486,30-40,256,WWH,127,F,182
2016,1,INVSTG,1486,30-40,256,WWH,127,M,1302
2016,1,INVSTG,1486,30-40,256,WWH,127,X,2
2016,1,INVSTG,1486,40-50,252,API,6,F,182
2016,1,INVSTG,1486,40-50,252,API,6,M,1302
2016,1,INVSTG,1486,40-50,252,API,6,X,2
2016,1,INVSTG,1486,40-50,252,BLK,1127,F,182
2016,1,INVSTG,1486,40-50,252,BLK,1127,M,1302
2016,1,INVSTG,1486,40-50,252,BLK,1127,X,2
2016,1,INVSTG,1486,40-50,252,I,2,F,182
2016,1,INVSTG,1486,40-50,252,I,2,M,1302
2016,1,INVSTG,1486,40-50,252,I,2,X,2
2016,1,INVSTG,1486,40-50,252,P,2,F,182
2016,1,INVSTG,1486,40-50,252,P,2,M,1302
2016,1,INVSTG,1486,40-50,252,P,2,X,2
2016,1,INVSTG,1486,40-50,252,WHT,222,F,182
2016,1,INVSTG,1486,40-50,252,WHT,222,M,1302
2016,1,INVSTG,1486,40-50,252,WHT,222,X,2
2016,1,INVSTG,1486,40-50,252,WWH,127,F,182
2016,1,INVSTG,1486,40-50,252,WWH,127,M,1302
2016,1,INVSTG,1486,40-50,252,WWH,127,X,2
2016,1,INVSTG,1486,50-60,262,API,6,F,182
2016,1,INVSTG,1486,50-60,262,API,6,M,1302
2016,1,INVSTG,1486,50-60,262,API,6,X,2
2016,1,INVSTG,1486,50-60,262,BLK,1127,F,182
2016,1,INVSTG,1486,50-60,262,BLK,1127,M,1302
2016,1,INVSTG,1486,50-60,262,BLK,1127,X,2
2016,1,INVSTG,1486,50-60,262,I,2,F,182
2016,1,INVSTG,1486,50-60,262,I,2,M,1302
2016,1,INVSTG,1486,50-60,262,I,2,X,2
2016,1,INVSTG,1486,50-60,262,P,2,F,182
2016,1,INVSTG,1486,50-60,262,P,2,M,1302
2016,1,INVSTG,1486,50-60,262,P,2,X,2
2016,1,INVSTG,1486,50-60,262,WHT,222,F,182
2016,1,INVSTG,1486,50-60,262,WHT,222,M,1302
2016,1,INVSTG,1486,50-60,262,WHT,222,X,2
2016,1,INVSTG,1486,50-60,262,WWH,127,F,182
2016,1,INVSTG,1486,50-60,262,WWH,127,M,1302
2016,1,INVSTG,1486,50-60,262,WWH,127,X,2
2016,1,INVSTG,1486,60 or older,67,API,6,F,182
2016,1,INVSTG,1486,60 or older,67,API,6,M,1302
2016,1,INVSTG,1486,60 or older,67,API,6,X,2
2016,1,INVSTG,1486,60 or older,67,BLK,1127,F,182
2016,1,INVSTG,1486,60 or older,67,BLK,1127,M,1302
2016,1,INVSTG,1486,60 or older,67,BLK,1127,X,2
2016,1,INVSTG,1486,60 or older,67,I,2,F,182
2016,1,INVSTG,1486,60 or older,67,I,2,M,1302
2016,1,INVSTG,1486,60 or older,67,I,2,X,2
2016,1,INVSTG,1486,60 or older,67,P,2,F,182
2016,1,INVSTG,1486,60 or older,67,P,2,M,1302
2016,1,INVSTG,1486,60 or older,67,P,2,X,2
2016,1,INVSTG,1486,60 or older,67,WHT,222,F,182
2016,1,INVSTG,1486,60 or older,67,WHT,222,M,1302
2016,1,INVSTG,1486,60 or older,67,WHT,222,X,2
2016,1,INVSTG,1486,60 or older,67,WWH,127,F,182
2016,1,INVSTG,1486,60 or older,67,WWH,127,M,1302
2016,1,INVSTG,1486,60 or older,67,WWH,127,X,2
2016,1,INVSTG,1486,Juvenile,208,API,6,F,182
2016,1,INVSTG,1486,Juvenile,208,API,6,M,1302
2016,1,INVSTG,1486,Juvenile,208,API,6,X,2
2016,1,INVSTG,1486,Juvenile,208,BLK,1127,F,182
2016,1,INVSTG,1486,Juvenile,208,BLK,1127,M,1302
2016,1,INVSTG,1486,Juvenile,208,BLK,1127,X,2
2016,1,INVSTG,1486,Juvenile,208,I,2,F,182
2016,1,INVSTG,1486,Juvenile,208,I,2,M,1302
2016,1,INVSTG,1486,Juvenile,208,I,2,X,2
2016,1,INVSTG,1486,Juvenile,208,P,2,F,182
2016,1,INVSTG,1486,Juvenile,208,P,2,M,1302
2016,1,INVSTG,1486,Juvenile,208,P,2,X,2
2016,1,INVSTG,1486,Juvenile,208,WHT,222,F,182
2016,1,INVSTG,1486,Juvenile,208,WHT,222,M,1302
2016,1,INVSTG,1486,Juvenile,208,WHT,222,X,2
2016,1,INVSTG,1486,Juvenile,208,WWH,127,F,182
2016,1,INVSTG,1486,Juvenile,208,WWH,127,M,1302
2016,1,INVSTG,1486,Juvenile,208,WWH,127,X,2
2016,2,GANGLTR,261,19-30,95,BLK,259,F,11
2016,2,GANGLTR,261,19-30,95,BLK,259,M,250
2016,2,GANGLTR,261,19-30,95,WHT,1,F,11
2016,2,GANGLTR,261,19-30,95,WHT,1,M,250
2016,2,GANGLTR,261,19-30,95,WWH,1,F,11
2016,2,GANGLTR,261,19-30,95,WWH,1,M,250
2016,2,GANGLTR,261,30-40,14,BLK,259,F,11
2016,2,GANGLTR,261,30-40,14,BLK,259,M,250
2016,2,GANGLTR,261,30-40,14,WHT,1,F,11
2016,2,GANGLTR,261,30-40,14,WHT,1,M,250
2016,2,GANGLTR,261,30-40,14,WWH,1,F,11
2016,2,GANGLTR,261,30-40,14,WWH,1,M,250
2016,2,GANGLTR,261,40-50,29,BLK,259,F,11
2016,2,GANGLTR,261,40-50,29,BLK,259,M,250
2016,2,GANGLTR,261,40-50,29,WHT,1,F,11
2016,2,GANGLTR,261,40-50,29,WHT,1,M,250
2016,2,GANGLTR,261,40-50,29,WWH,1,F,11
2016,2,GANGLTR,261,40-50,29,WWH,1,M,250
2016,2,GANGLTR,261,50-60,14,BLK,259,F,11
2016,2,GANGLTR,261,50-60,14,BLK,259,M,250
2016,2,GANGLTR,261,50-60,14,WHT,1,F,11
2016,2,GANGLTR,261,50-60,14,WHT,1,M,250
2016,2,GANGLTR,261,50-60,14,WWH,1,F,11
2016,2,GANGLTR,261,50-60,14,WWH,1,M,250
2016,2,GANGLTR,261,60 or older,7,BLK,259,F,11
2016,2,GANGLTR,261,60 or older,7,BLK,259,M,250
2016,2,GANGLTR,261,60 or older,7,WHT,1,F,11
2016,2,GANGLTR,261,60 or older,7,WHT,1,M,250
2016,2,GANGLTR,261,60 or older,7,WWH,1,F,11
2016,2,GANGLTR,261,60 or older,7,WWH,1,M,250
2016,2,GANGLTR,261,Juvenile,102,BLK,259,F,11
2016,2,GANGLTR,261,Juvenile,102,BLK,259,M,250
2016,2,GANGLTR,261,Juvenile,102,WHT,1,F,11
2016,2,GANGLTR,261,Juvenile,102,WHT,1,M,250
2016,2,GANGLTR,261,Juvenile,102,WWH,1,F,11
2016,2,GANGLTR,261,Juvenile,102,WWH,1,M,250
2016,2,INVSTG,5293,19-30,1672,API,44,F,876
2016,2,INVSTG,5293,19-30,1672,API,44,M,4414
2016,2,INVSTG,5293,19-30,1672,API,44,X,3
2016,2,INVSTG,5293,19-30,1672,BLK,5064,F,876
2016,2,INVSTG,5293,19-30,1672,BLK,5064,M,4414
2016,2,INVSTG,5293,19-30,1672,BLK,5064,X,3
2016,2,INVSTG,5293,19-30,1672,I,12,F,876
2016,2,INVSTG,5293,19-30,1672,I,12,M,4414
2016,2,INVSTG,5293,19-30,1672,I,12,X,3
2016,2,INVSTG,5293,19-30,1672,P,5,F,876
2016,2,INVSTG,5293,19-30,1672,P,5,M,4414
2016,2,INVSTG,5293,19-30,1672,P,5,X,3
2016,2,INVSTG,5293,19-30,1672,WHI,1,F,876
2016,2,INVSTG,5293,19-30,1672,WHI,1,M,4414
2016,2,INVSTG,5293,19-30,1672,WHI,1,X,3
2016,2,INVSTG,5293,19-30,1672,WHT,101,F,876
2016,2,INVSTG,5293,19-30,1672,WHT,101,M,4414
2016,2,INVSTG,5293,19-30,1672,WHT,101,X,3
2016,2,INVSTG,5293,19-30,1672,WWH,66,F,876
2016,2,INVSTG,5293,19-30,1672,WWH,66,M,4414
2016,2,INVSTG,5293,19-30,1672,WWH,66,X,3
2016,2,INVSTG,5293,30-40,813,API,44,F,876
2016,2,INVSTG,5293,30-40,813,API,44,M,4414
2016,2,INVSTG,5293,30-40,813,API,44,X,3
2016,2,INVSTG,5293,30-40,813,BLK,5064,F,876
2016,2,INVSTG,5293,30-40,813,BLK,5064,M,4414
2016,2,INVSTG,5293,30-40,813,BLK,5064,X,3
2016,2,INVSTG,5293,30-40,813,I,12,F,876
2016,2,INVSTG,5293,30-40,813,I,12,M,4414
2016,2,INVSTG,5293,30-40,813,I,12,X,3
2016,2,INVSTG,5293,30-40,813,P,5,F,876
2016,2,INVSTG,5293,30-40,813,P,5,M,4414
2016,2,INVSTG,5293,30-40,813,P,5,X,3
2016,2,INVSTG,5293,30-40,813,WHI,1,F,876
2016,2,INVSTG,5293,30-40,813,WHI,1,M,4414
2016,2,INVSTG,5293,30-40,813,WHI,1,X,3
2016,2,INVSTG,5293,30-40,813,WHT,101,F,876
2016,2,INVSTG,5293,30-40,813,WHT,101,M,4414
2016,2,INVSTG,5293,30-40,813,WHT,101,X,3
2016,2,INVSTG,5293,30-40,813,WWH,66,F,876
2016,2,INVSTG,5293,30-40,813,WWH,66,M,4414
2016,2,INVSTG,5293,30-40,813,WWH,66,X,3
2016,2,INVSTG,5293,40-50,756,API,44,F,876
