year,district,contact_type_cd,count
2016,1,GANGLTR,18
2016,1,INVSTG,1486
2016,2,GANGLTR,261
2016,2,INVSTG,5293
2016,3,GANGLTR,525
2016,3,INVSTG,4327
2016,4,GANGLTR,414
2016,4,INVSTG,6320
2016,5,GANGLTR,220
2016,5,INVSTG,4244
2016,6,GANGLTR,230
2016,6,INVSTG,4464
2016,7,GANGLTR,158
2016,7,INVSTG,8197
2016,8,GANGLTR,479
2016,8,INVSTG,6103
2016,9,GANGLTR,457
2016,9,INVSTG,7842
2016,10,GANGLTR,730
2016,10,INVSTG,7250
2016,11,GANGLTR,978
2016,11,INVSTG,11726
2016,12,GANGLTR,472
2016,12,INVSTG,3928
2016,14,GANGLTR,196
2016,14,INVSTG,1764
2016,15,GANGLTR,633
2016,15,INVSTG,6237
2016,16,INVSTG,2995
2016,17,GANGLTR,11
2016,17,INVSTG,2111
2016,18,GANGLTR,527
2016,18,INVSTG,1453
2016,19,GANGLTR,50
2016,19,INVSTG,2704
2016,20,GANGLTR,83
2016,20,INVSTG,1744
2016,22,GANGLTR,78
2016,22,INVSTG,2247
2016,24,GANGLTR,189
2016,24,INVSTG,3805
2016,25,GANGLTR,271
2016,25,INVSTG,5199
2016,31,GANGLTR,8
2016,31,INVSTG,411
2016,41,INVSTG,27
2016,51,INVSTG,1
2017,1,INVSTG,1944
2017,2,GANGLTR,268
2017,2,INVSTG,4165
2017,3,GANGLTR,438
2017,3,INVSTG,4283
2017,4,GANGLTR,750
2017,4,INVSTG,9062
2017,5,GANGLTR,241
2017,5,INVSTG,4714
2017,6,GANGLTR,1234
2017,6,INVSTG,6087
2017,7,GANGLTR,145
2017,7,INVSTG,8246
2017,8,GANGLTR,762
2017,8,INVSTG,5432
2017,9,GANGLTR,115
2017,9,INVSTG,7031
2017,10,GANGLTR,244
2017,10,INVSTG,7276
2017,11,GANGLTR,581
2017,11,INVSTG,9046
2017,12,GANGLTR,475
2017,12,INVSTG,3621
2017,14,GANGLTR,34
2017,14,INVSTG,2206
2017,15,GANGLTR,414
2017,15,INVSTG,6184
2017,16,GANGLTR,3
2017,16,INVSTG,2510
2017,17,INVSTG,1941
2017,18,GANGLTR,379
2017,18,INVSTG,2137
2017,19,GANGLTR,243
2017,19,INVSTG,2914
2017,20,GANGLTR,163
2017,20,INVSTG,2153
2017,22,GANGLTR,42
2017,22,INVSTG,2298
2017,24,GANGLTR,49
2017,24,INVSTG,3817
2017,25,GANGLTR,393
2017,25,INVSTG,5400
2017,31,INVSTG,185
2017,41,INVSTG,4
2018,1,GANGLTR,5
2018,1,INVSTG,4842
2018,2,GANGLTR,248
2018,2,INVSTG,4922
2018,3,GANGLTR,436
2018,3,INVSTG,4423
2018,4,GANGLTR,1077
2018,4,INVSTG,9493
2018,5,GANGLTR,275
2018,5,INVSTG,6564
2018,6,GANGLTR,635
2018,6,INVSTG,7652
2018,7,GANGLTR,265
2018,7,INVSTG,12100
2018,8,GANGLTR,389
2018,8,INVSTG,7846
2018,9,GANGLTR,92
2018,9,INVSTG,7144
2018,10,GANGLTR,323
2018,10,INVSTG,8480
2018,11,GANGLTR,543
2018,11,INVSTG,10346
2018,12,GANGLTR,293
2018,12,INVSTG,4826
2018,14,GANGLTR,6
2018,14,INVSTG,2934
2018,15,GANGLTR,346
2018,15,INVSTG,5419
2018,16,GANGLTR,3
2018,16,INVSTG,3086
2018,17,INVSTG,2580
2018,18,GANGLTR,330
2018,18,INVSTG,3219
2018,19,GANGLTR,82
2018,19,INVSTG,2893
2018,20,GANGLTR,57
2018,20,INVSTG,2419
2018,22,GANGLTR,22
2018,22,INVSTG,3188
2018,24,GANGLTR,22
2018,24,INVSTG,4241
2018,25,GANGLTR,112
2018,25,INVSTG,8114
2018,31,GANGLTR,3
2018,31,INVSTG,247
2018,41,GANGLTR,1
2018,41,INVSTG,13
2018,51,INVSTG,1
2019,1,GANGLTR,2
2019,1,INVSTG,5912
2019,2,GANGLTR,229
2019,2,INVSTG,6222
2019,3,GANGLTR,281
2019,3,INVSTG,5288
2019,4,GANGLTR,780
2019,4,INVSTG,13745
2019,5,GANGLTR,64
2019,5,INVSTG,7153
2019,6,GANGLTR,469
2019,6,INVSTG,8007
2019,7,GANGLTR,92
2019,7,INVSTG,15395
2019,8,GANGLTR,221
2019,8,INVSTG,11687
2019,9,GANGLTR,511
2019,9,INVSTG,9644
2019,10,GANGLTR,163
2019,10,INVSTG,7293
2019,11,GANGLTR,596
2019,11,INVSTG,12159
2019,12,GANGLTR,478
2019,12,INVSTG,5281
2019,14,GANGLTR,35
2019,14,INVSTG,4980
2019,15,GANGLTR,147
2019,15,INVSTG,5383
2019,16,GANGLTR,2
2019,16,INVSTG,3645
2019,17,INVSTG,3010
2019,18,GANGLTR,312
2019,18,INVSTG,5258
2019,19,GANGLTR,111
2019,19,INVSTG,4206
2019,20,GANGLTR,130
2019,20,INVSTG,2915
2019,22,GANGLTR,6
2019,22,INVSTG,3278
2019,24,GANGLTR,66
2019,24,INVSTG,5487
2019,25,GANGLTR,110
2019,25,INVSTG,6559
2019,31,GANGLTR,1
2019,31,INVSTG,307
2019,41,INVSTG,17
2020,1,INVSTG,4678
2020,1,PRO,1
2020,2,GANGLTR,72
2020,2,INVSTG,2275
2020,3,GANGLTR,108
2020,3,INVSTG,2440
2020,3,PRO,1
2020,4,GANGLTR,231
2020,4,INVSTG,4943
2020,4,PRO,2
2020,5,GANGLTR,4
2020,5,INVSTG,3566
2020,5,PRO,6
2020,6,GANGLTR,58
2020,6,INVSTG,4250
2020,7,GANGLTR,13
2020,7,INVSTG,10128
2020,7,PRO,2
2020,8,GANGLTR,117
2020,8,INVSTG,5903
2020,8,PRO,10
2020,9,GANGLTR,192
2020,9,INVSTG,5255
2020,10,GANGLTR,61
2020,10,INVSTG,2939
2020,11,GANGLTR,188
2020,11,INVSTG,7518
2020,11,PRO,4
2020,12,GANGLTR,140
2020,12,INVSTG,2774
2020,12,PRO,8
2020,14,GANGLTR,37
2020,14,INVSTG,2994
2020,14,PRO,2
2020,15,GANGLTR,65
2020,15,INVSTG,3229
2020,16,INVSTG,2169
2020,17,INVSTG,1546
2020,18,GANGLTR,88
2020,18,INVSTG,2988
2020,18,PRO,2
2020,19,GANGLTR,89
