year,district,contact_type_cd,sex_code_cd,a_count
2016,1,GANGLTR,F,1
2016,1,GANGLTR,M,17
2016,1,INVSTG,F,182
2016,1,INVSTG,M,1302
2016,1,INVSTG,X,2
2016,2,GANGLTR,F,11
2016,2,GANGLTR,M,250
2016,2,INVSTG,F,876
2016,2,INVSTG,M,4414
2016,2,INVSTG,X,3
2016,3,GANGLTR,F,17
2016,3,GANGLTR,M,508
2016,3,INVSTG,F,599
2016,3,INVSTG,M,3724
2016,3,INVSTG,X,4
2016,4,GANGLTR,F,26
2016,4,GANGLTR,M,388
2016,4,INVSTG,F,734
2016,4,INVSTG,M,5576
2016,4,INVSTG,X,10
2016,5,GANGLTR,F,21
2016,5,GANGLTR,M,199
2016,5,INVSTG,F,683
2016,5,INVSTG,M,3558
2016,5,INVSTG,X,3
2016,6,GANGLTR,F,6
2016,6,GANGLTR,M,224
2016,6,INVSTG,F,662
2016,6,INVSTG,M,3797
2016,6,INVSTG,X,5
2016,7,GANGLTR,F,14
2016,7,GANGLTR,M,144
2016,7,INVSTG,F,1036
2016,7,INVSTG,M,7156
2016,7,INVSTG,X,5
2016,8,GANGLTR,F,10
2016,8,GANGLTR,M,469
2016,8,INVSTG,F,1020
2016,8,INVSTG,M,5075
2016,8,INVSTG,X,8
2016,9,GANGLTR,F,12
2016,9,GANGLTR,M,445
2016,9,INVSTG,F,1110
2016,9,INVSTG,M,6717
2016,9,INVSTG,X,15
2016,10,GANGLTR,F,36
2016,10,GANGLTR,M,694
2016,10,INVSTG,F,893
2016,10,INVSTG,M,6354
2016,10,INVSTG,X,3
2016,11,GANGLTR,F,93
2016,11,GANGLTR,M,885
2016,11,INVSTG,F,1759
2016,11,INVSTG,M,9960
2016,11,INVSTG,X,7
2016,12,GANGLTR,F,8
2016,12,GANGLTR,M,464
2016,12,INVSTG,F,431
2016,12,INVSTG,M,3492
2016,12,INVSTG,X,5
2016,14,GANGLTR,F,8
2016,14,GANGLTR,M,188
2016,14,INVSTG,F,218
2016,14,INVSTG,M,1540
2016,14,INVSTG,X,6
2016,15,GANGLTR,F,46
2016,15,GANGLTR,M,586
2016,15,GANGLTR,X,1
2016,15,INVSTG,F,759
2016,15,INVSTG,M,5477
2016,15,INVSTG,X,1
2016,16,INVSTG,F,541
2016,16,INVSTG,M,2453
2016,16,INVSTG,X,1
2016,17,GANGLTR,F,2
2016,17,GANGLTR,M,9
2016,17,INVSTG,F,284
2016,17,INVSTG,M,1824
2016,17,INVSTG,X,3
2016,18,GANGLTR,F,55
2016,18,GANGLTR,M,471
2016,18,GANGLTR,X,1
2016,18,INVSTG,F,252
2016,18,INVSTG,M,1200
2016,18,INVSTG,X,1
2016,19,GANGLTR,F,1
2016,19,GANGLTR,M,49
2016,19,INVSTG,F,301
2016,19,INVSTG,M,2399
2016,19,INVSTG,X,4
2016,20,GANGLTR,F,7
2016,20,GANGLTR,M,76
2016,20,INVSTG,F,267
2016,20,INVSTG,M,1476
2016,20,INVSTG,X,1
2016,22,GANGLTR,F,7
2016,22,GANGLTR,M,71
2016,22,INVSTG,F,351
2016,22,INVSTG,M,1893
2016,22,INVSTG,X,3
2016,24,GANGLTR,F,4
2016,24,GANGLTR,M,185
2016,24,INVSTG,F,561
2016,24,INVSTG,M,3244
2016,25,GANGLTR,F,32
2016,25,GANGLTR,M,239
2016,25,INVSTG,F,767
2016,25,INVSTG,M,4418
2016,25,INVSTG,X,14
2016,31,GANGLTR,M,8
2016,31,INVSTG,F,54
2016,31,INVSTG,M,356
2016,31,INVSTG,X,1
2016,41,INVSTG,F,8
2016,41,INVSTG,M,19
2016,51,INVSTG,M,1
2017,1,INVSTG,F,253
2017,1,INVSTG,M,1689
2017,1,INVSTG,X,2
2017,2,GANGLTR,F,14
2017,2,GANGLTR,M,254
2017,2,INVSTG,F,652
2017,2,INVSTG,M,3512
2017,2,INVSTG,X,1
2017,3,GANGLTR,F,18
2017,3,GANGLTR,M,420
2017,3,INVSTG,F,624
2017,3,INVSTG,M,3658
2017,3,INVSTG,X,1
2017,4,GANGLTR,F,64
2017,4,GANGLTR,M,686
2017,4,INVSTG,F,1314
2017,4,INVSTG,M,7746
2017,4,INVSTG,X,2
2017,5,GANGLTR,F,18
2017,5,GANGLTR,M,223
2017,5,INVSTG,F,711
2017,5,INVSTG,M,3999
2017,5,INVSTG,X,4
2017,6,GANGLTR,F,53
2017,6,GANGLTR,M,1179
2017,6,GANGLTR,X,2
2017,6,INVSTG,F,764
2017,6,INVSTG,M,5321
2017,6,INVSTG,X,2
2017,7,GANGLTR,F,5
2017,7,GANGLTR,M,140
2017,7,INVSTG,F,1035
2017,7,INVSTG,M,7201
2017,7,INVSTG,X,10
2017,8,GANGLTR,F,25
2017,8,GANGLTR,M,737
2017,8,INVSTG,F,780
2017,8,INVSTG,M,4651
2017,8,INVSTG,X,1
2017,9,GANGLTR,F,4
2017,9,GANGLTR,M,111
2017,9,INVSTG,F,1106
2017,9,INVSTG,M,5921
2017,9,INVSTG,X,4
2017,10,GANGLTR,F,10
2017,10,GANGLTR,M,234
2017,10,INVSTG,F,791
2017,10,INVSTG,M,6484
2017,10,INVSTG,X,1
2017,11,GANGLTR,F,43
2017,11,GANGLTR,M,538
2017,11,INVSTG,F,1210
2017,11,INVSTG,M,7832
2017,11,INVSTG,X,4
2017,12,GANGLTR,F,16
2017,12,GANGLTR,M,459
2017,12,INVSTG,F,382
2017,12,INVSTG,M,3237
2017,12,INVSTG,X,2
2017,14,GANGLTR,F,1
2017,14,GANGLTR,M,33
2017,14,INVSTG,F,381
2017,14,INVSTG,M,1825
2017,15,GANGLTR,F,17
2017,15,GANGLTR,M,397
2017,15,INVSTG,F,716
2017,15,INVSTG,M,5467
2017,15,INVSTG,X,1
2017,16,GANGLTR,M,3
2017,16,INVSTG,F,404
2017,16,INVSTG,M,2105
2017,16,INVSTG,X,1
2017,17,INVSTG,F,304
2017,17,INVSTG,M,1636
2017,17,INVSTG,X,1
2017,18,GANGLTR,F,35
2017,18,GANGLTR,M,344
2017,18,INVSTG,F,347
2017,18,INVSTG,M,1789
2017,18,INVSTG,X,1
2017,19,GANGLTR,F,7
2017,19,GANGLTR,M,235
2017,19,GANGLTR,X,1
2017,19,INVSTG,F,371
2017,19,INVSTG,M,2542
2017,19,INVSTG,X,1
2017,20,GANGLTR,F,11
2017,20,GANGLTR,M,152
2017,20,INVSTG,F,426
2017,20,INVSTG,M,1727
2017,22,GANGLTR,F,10
2017,22,GANGLTR,M,32
2017,22,INVSTG,F,331
2017,22,INVSTG,M,1967
2017,24,GANGLTR,F,1
2017,24,GANGLTR,M,48
